sample_id,cancer_type,n_spots,n_edges,n_interface,n_tumor_core,total_energy,exact_energy,coexact_energy,exact_fraction,coexact_fraction,interface_coexact_density_mean,tumor_core_coexact_density_mean,interface_vs_tumor_enrichment,log2_interface_vs_tumor_enrichment,mwu_p_interface_gt_tumor,interface_density_p95,tumor_core_density_p95,density_gini_all,density_gini_interface,interface_lcc_fraction,spatial_score,valid,n_interface_ncg,n_edges_ncg,comm_TI,comm_TE,comm_TM,comm_IE,comm_IM,comm_EM,frac_TI,frac_TE,frac_TM,frac_IE,frac_IM,frac_EM,tumor_sector_strength,immune_sector_strength,tumor_sector_fraction,immune_sector_fraction,tm_dominance,immune_to_TM_ratio,operator_entropy,dominant_channel,TM_is_dominant,immune_sector_gt_TM,kts_state,coexact_enrichment_level,spatial_structure_level,immune_sector_level,tm_dominance_level,operator_entropy_level
Glioblstoma4,Glioblastoma,4861,29166,1672,268,59228.14745601326,35919.652794110116,23305.92143049861,0.6064625408178843,0.3934940130924595,0.840779420819202,0.6031555808309895,1.3939677382400002,0.4791971720970699,1.3914363222720268e-09,1.957801903859234,1.3156775957587028,0.4222640446381331,0.3602570655387938,0.6267942583732058,0.2258070602180956,True,1672,10032,298.7745304892976,224.1653972213076,194.4161142310721,248.4613989012606,208.87852382869193,166.46898062979218,0.2227723976353623,0.1671423026724927,0.1449606291248371,0.1852578981964217,0.1557440973688341,0.1241226750020511,717.3560419416773,623.8089033597447,0.5348753294326922,0.465124670567307,0.1449606291248371,3.2086275658113257,1.774418645501256,TI,False,True,S2_mixed_interface,low,high,low,mid,low
Glioblstoma5,Glioblastoma,4434,26604,1450,278,60541.567057226435,41949.542911374454,18590.29204069025,0.6929048082241079,0.3070665815953842,0.7211321307621575,0.5530029623822096,1.3040294172284037,0.3829764152839265,2.5529373749275305e-16,1.6170373504494249,1.359948870285688,0.39154575653587,0.3344963371738882,0.6731034482758621,0.2251506379873896,True,1450,8700,199.17015393391753,184.6148357824142,172.54179227207726,205.51669565247548,190.14623771486816,150.46918013719693,0.1806599363914254,0.1674573415273374,0.1565063268820806,0.1864166514440262,0.1724746731984476,0.1364850705566818,556.326781988409,546.1321135045405,0.5046236048008435,0.4953763951991556,0.1565063268820806,3.1652164169209156,1.78672865979159,IE,False,True,S4_TM_dominated_organized,low,high,low,high,high
Lung1,Lung,4948,29688,1736,227,55982.62491222727,25511.494450290287,30465.38297020717,0.4557037918512869,0.5441935425138161,0.9649461403085212,0.6753271020598042,1.4288574194104249,0.514861962220452,9.997663390523444e-20,1.9531125700012633,1.3135883802107378,0.333449215440275,0.2811813066607307,0.4642857142857143,0.1305484638067678,True,1736,10416,221.27594899318223,221.84733659475415,221.92429469114376,198.0636990351032,200.21725375221584,206.5690358689941,0.1742470844941349,0.1746970322816962,0.1747576340957891,0.1559682480541701,0.1576640972075141,0.1626659038666946,665.0475802790802,604.8499886563131,0.5237017508716204,0.4762982491283789,0.1747576340957891,2.725478927388692,1.7905589158057005,TM,True,True,S2_mixed_interface,low,mid,low,high,high
Lung2,Lung,4708,28248,1270,406,32294.893405655137,25849.66553613416,6434.887404067427,0.8004257890384504,0.1992540220907067,0.2677466787018689,0.2453783193579976,1.0911586622701803,0.1258608950887069,0.0270942917389512,0.7177613420169802,0.6084891246968188,0.3932216161954012,0.4001689478254138,0.6401574803149607,0.2561711453402058,True,1270,7620,104.89528915572951,106.52100210136751,73.81362845017726,98.99018479137838,75.23818252822203,74.93236419291885,0.1962895288611367,0.1993317095990054,0.1381267211200103,0.1852393648081687,0.1407924752360171,0.1402202003756596,285.2299197072743,249.16073151251925,0.5337479595801525,0.4662520404198456,0.1381267211200103,3.3755383219061565,1.778325072463259,TE,False,True,S2_mixed_interface,low,high,low,low,low
Lung3,Lung,4949,29694,1502,331,48037.68240273979,33755.43807801198,14281.104065619327,0.7026866490979332,0.2972896141385209,0.5043759957999904,0.3504859893196295,1.4390760577267472,0.5251428430906698,2.4385016537179223e-20,1.1232340837555554,0.8045807436768129,0.363608663842915,0.3416576725700433,0.2137150466045273,0.0730173854161011,True,1502,9012,133.92480890852235,131.5151099403002,116.47460362776026,145.53022294747535,124.83519744507754,129.66353574980567,0.1712717256048461,0.1681900463861919,0.1489552721041629,0.1861134812512392,0.1596473413469215,0.1658221333066369,381.9145224765828,400.02895614235854,0.4884170440952009,0.5115829559047976,0.1489552721041629,3.4344736421752735,1.7894682848246029,IE,False,True,S0_weak,low,low,mid,mid,high
Lung4,Lung,4829,28974,775,806,39693.97727749648,34886.097737938326,4804.740908056447,0.8788763467579284,0.121044582518577,0.2817185896076671,0.1625186416123324,1.7334540014058049,0.7936495539778584,6.192965488682459e-66,0.6401024430291213,0.4092601424549895,0.4191809817687939,0.3374621363448042,0.1148387096774193,0.0387537163028226,True,775,4650,64.89087320653783,64.60950389325866,59.643110993773305,87.10230985902851,73.70181951922282,81.41277488885214,0.1504330818400232,0.1497807982315552,0.1382674720489956,0.2019246815460967,0.1708590330138571,0.1887349333194697,189.14348809356977,242.21690426710347,0.438481352120574,0.5615186478794236,0.1382674720489956,4.061104463387006,1.782542101443914,IE,False,True,S1_fragmented_or_diffuse,mid,low,high,low,mid
Lung5,Lung,4082,24492,939,470,42767.34605299691,32846.103325589815,9915.32464322808,0.7680182746174433,0.2318433468128019,0.4778970951491435,0.2573518795459799,1.8569792301124537,0.8929576791506125,5.1020119904947227e-51,1.0887824537141202,0.5790833187060694,0.3881823030540812,0.3550456841711444,0.2705005324813631,0.0960400466235044,True,939,5634,99.48669462630636,105.8957515163888,107.7680966566296,101.8886572202352,101.69726038751564,112.47162155187216,0.1581141397875387,0.1683000497811433,0.1712757667083823,0.1619315773933156,0.1616273905301659,0.1787510757994524,313.1505427993248,316.057539159623,0.4976899562770644,0.502310043722934,0.1712757667083823,2.9327560657087757,1.790892299110026,EM,False,True,S2_mixed_interface,mid,mid,low,high,high
Lung6,Lung,4966,29796,1375,382,42628.21288190619,33555.22032723315,9071.049508399565,0.7871599126191817,0.2127945061532201,0.4238449848509814,0.3025394092823959,1.4009579309185327,0.4864136340235331,4.0547325259029484e-20,0.9679485763924666,0.6586745441852756,0.3560128328566931,0.3371415016539492,0.4829090909090909,0.1628086960714343,True,1375,8250,131.60122395849987,126.23029137467962,126.96531963617028,142.96421545467095,162.60914705483984,161.20869181181794,0.1545379125921226,0.1482308837879046,0.1490940196297324,0.1678813522182926,0.1909501857077325,0.1893056460642141,384.7968349693498,466.7820543213287,0.4518628160097596,0.5481371839902391,0.1490940196297324,3.6764531894136754,1.7861211407252435,IM,False,True,S2_mixed_interface,low,high,high,mid,mid
Lung7,Lung,4701,28206,983,605,40129.80625103441,32264.01666176775,7853.780812028458,0.8039913390046854,0.1957094126719342,0.3654704234680311,0.2322918436948133,1.5733243907892664,0.6538161588240959,1.0068671749003243e-38,0.8773653241884062,0.6022391550590328,0.3844978558150385,0.358653695411395,0.237029501525941,0.0850115066437996,True,983,5898,87.60558043598873,106.27653129564077,78.5150147534688,98.4419138990509,77.32761148996842,88.59368281516417,0.1632117255584867,0.1979962460474311,0.1462757392438828,0.183400127649217,0.1440635726832003,0.16505258881778,272.3971264850983,264.3632082041835,0.5074837108498008,0.4925162891501973,0.1462757392438828,3.3670401646648167,1.7852178952862454,TE,False,True,S1_fragmented_or_diffuse,mid,low,low,mid,mid
Ovarian1,Ovarian,2826,16956,759,259,24746.65478900934,16776.605016953137,7968.653237190338,0.6779342565688549,0.3220093101524749,0.5953482748584127,0.3561439225865018,1.671650804913399,0.7412735109159585,1.3706016634098209e-30,1.2744395540715108,0.8189765994908759,0.3260134487063839,0.3058452165706971,0.3162055335968379,0.0967099499037777,True,759,4554,112.2119075104011,107.2578159899975,97.28321998843856,135.9678328171041,93.38324930362432,97.37878202125576,0.1743821376107053,0.1666832659988225,0.1511823141734218,0.2112998687839245,0.1451215917445303,0.1513308216885939,316.75294348883716,326.7298641419842,0.4922477177829497,0.5077522822170487,0.1511823141734218,3.358542862590388,1.7831513071932767,IE,False,True,S2_mixed_interface,mid,mid,mid,mid,mid
Ovarian2,Ovarian,3821,22926,1027,338,23017.85299587823,18982.757121840725,4033.7286586999858,0.8246971220660735,0.1752434798945974,0.2665603642194697,0.1778544640199867,1.49875554536554,0.5837650915931314,3.5942203176084013e-19,0.6692745706980685,0.4664426724446014,0.3718929093810512,0.3736159952759608,0.4148003894839338,0.1549760603578961,True,1027,6162,89.06485680481117,87.85522341140125,85.76410871775752,95.15238183930656,95.24734562972957,91.36094965813388,0.1635883858161116,0.1613666119161001,0.1575257919837309,0.1747695455881495,0.1749439687416086,0.1678056959542972,262.68418893396995,281.76067712716997,0.4824807897159427,0.5175192102840553,0.1575257919837309,3.285298259839876,1.7909903490501513,IM,False,True,S4_TM_dominated_organized,mid,high,mid,high,high
Prostate5,Prostate,4932,29592,1209,596,51338.495755248194,39783.77625088619,11553.814133970674,0.7749306960716551,0.225051668616324,0.5205412854900602,0.2266792151725051,2.2963785413304287,1.199360479420925,2.1395012628528143e-97,1.2376869077754922,0.5845616141233362,0.4620111641879787,0.3754802941057513,0.2440033085194375,0.0916184340456548,True,1209,7254,125.32938716347,135.40003069584006,156.82777448732125,138.7675704545773,138.98606741968644,165.92613949728752,0.1455225351095652,0.1572157669220192,0.1820959619727412,0.1611258867579561,0.1613795880884745,0.1926602611492425,417.55719234663127,443.67977737155127,0.4848342640043257,0.5151657359956731,0.1820959619727412,2.829089291242973,1.7872842992108342,EM,False,True,S1_fragmented_or_diffuse,high,low,mid,high,high
Prostate6,Prostate,4942,29652,1410,422,56656.48833019272,40651.934170372566,15999.878365899644,0.717515952161631,0.2824015190043675,0.5401087425824527,0.2479124558795032,2.17862688933545,1.123419142303021,4.7305222540191e-76,1.3100261197153231,0.6662970391876238,0.3936959430905915,0.360174745477402,0.274468085106383,0.0988564726948614,True,1410,8460,149.58414610320506,130.49882063220866,143.34021000200732,184.60434106594437,168.38617800849715,161.18205032906047,0.1595401288016531,0.1391845272009097,0.1528806104251061,0.1968911887940644,0.1795935814572137,0.1719099633210518,423.42317673742104,514.1725694035019,0.4516052664276689,0.5483947335723299,0.1528806104251061,3.5870783878180306,1.785457641276003,IE,False,True,S2_mixed_interface,mid,mid,high,high,mid
Prostate7,Prostate,4729,28374,1072,479,48631.828386201625,37509.19766746778,11121.471022961652,0.7712890695697207,0.2286870839945051,0.4202537172287471,0.1770064416585774,2.374228379987368,1.2474587162896236,8.610197832919025e-71,1.1732945516150823,0.4685219604080758,0.4083273493385122,0.4259061569375901,0.2574626865671642,0.1096549433906482,True,1072,6432,121.47108929317284,105.9322981203732,122.0944570613317,112.50565552777329,129.188992757942,119.15051374511071,0.1710034281757897,0.1491283748135591,0.1718809869923751,0.1583821541105997,0.1818684657619761,0.1677365901456985,349.49784447487775,360.845162030826,0.492012789981724,0.5079872100182745,0.1718809869923751,2.955459000481568,1.7897798957235942,IM,False,True,S2_mixed_interface,high,mid,mid,high,high
Prostate8,Prostate,4948,29688,1424,443,76520.04529384608,57471.96497197,19044.796970690702,0.7510707129258851,0.2488863786940587,0.568770868421044,0.2171697199945445,2.61901552588783,1.3890246122110093,4.007625918408289e-82,1.531953264417259,0.5133430943727347,0.47004659595134,0.4345543140231607,0.1910112359550561,0.0830047566111655,True,1424,8544,172.04474698410638,152.65084691979845,146.22682435720318,203.6947743062481,195.76393837145696,182.44786533807715,0.1634118623181034,0.1449911120035791,0.1388894349170698,0.1934737502733795,0.185940868900586,0.1732929715872812,470.9224182611081,581.9065780157822,0.4472924092387524,0.5527075907612469,0.1388894349170698,3.9794790085456255,1.784544715965536,IE,False,True,S2_immune_active,high,low,high,low,mid
Prostate9,Prostate,4903,29418,1564,308,56971.29606474654,41261.59575132096,15705.688061749455,0.724252362179511,0.2756772119753132,0.5007127719278954,0.2183595485790858,2.293065612123911,1.1972776357442525,2.470827027225384e-51,1.416332441214447,0.6459264787558324,0.4433775696178308,0.4429478126967967,0.2461636828644501,0.1090376648901961,True,1564,9384,167.6909592399538,138.37014221412784,136.4464272617056,215.53166531680083,199.3387405549785,171.46063342358065,0.1629905453137491,0.1344915971429917,0.1326218043375558,0.2094902660321589,0.1937512324604247,0.1666545547131187,442.5075287157872,586.3310392953599,0.4301039467942966,0.5698960532057024,0.1326218043375558,4.297152010955677,1.7774763885126506,IE,False,True,S2_immune_active,high,mid,high,low,low
