sample_id,cancer_type,n_spots,n_edges,n_interface,n_tumor_core,total_energy,exact_energy,coexact_energy,exact_fraction,coexact_fraction,interface_coexact_density_mean,tumor_core_coexact_density_mean,interface_vs_tumor_enrichment,log2_interface_vs_tumor_enrichment,mwu_p_interface_gt_tumor,interface_density_p95,tumor_core_density_p95,density_gini_all,density_gini_interface,interface_lcc_fraction,spatial_score,valid
Breast6,Breast,3987,23922,913,595,69042.19920474471,55518.550493749404,13521.573897245311,0.8041248849722918,0.19584506364212226,0.6643215603540024,0.15870620128930493,4.185857609551294,2.065523236226511,1.0302738141664447e-154,1.933021784245174,0.33634509691626746,0.5435486258602888,0.44835753697416436,0.447973713033954,0.20085239060507473,True
Breast7,Breast,4490,26940,1490,211,40521.922812523095,27846.597844253887,12674.88500604445,0.6871983339262479,0.31279080868609077,0.5462713411365792,0.39231177008326285,1.392441886256046,0.4776171177568417,1.058530512840942e-09,1.309076513329671,0.8671061992367968,0.36042173163019453,0.3651272857702046,0.6865771812080537,0.25068806264625454,True
Breast8,Breast,4738,28428,1225,489,51937.478211294234,38615.43731932894,13318.501300140551,0.7434985033780808,0.25643334560753345,0.4825593110642878,0.2007891981070143,2.4033131045460703,1.2650246155719407,3.57318167931335e-79,1.278869624529006,0.5256303901366539,0.42426662227145506,0.41493624629009407,0.24489795918367346,0.10161703990777814,True
Breast9,Breast,4865,29190,1409,411,57047.69097697537,38090.40219231303,18951.90039655668,0.6676940212652329,0.3322115246383193,0.6567351038849392,0.23725082018916996,2.768104672340137,1.4688984976756168,3.6446824719421967e-109,1.6340546806141705,0.515015446473762,0.4212537833072969,0.37276048517888105,0.127750177430802,0.047620218120793895,True
Colorectal5,Colorectal,4882,29292,598,898,33513.84944980181,26080.250306436443,7431.511462665716,0.7781932166730156,0.22174449025310827,0.3611645313022194,0.144797251706448,2.494277529741554,1.3186219978489777,2.031646636549975e-114,0.8316276176239883,0.450342744809093,0.43450253466324407,0.35989326099396957,0.14715719063545152,0.052960881216503886,True
Colorectal6,Colorectal,4763,28578,420,991,41109.07504938506,36220.02003311603,4881.715320839468,0.8810711500953082,0.11875030793018275,0.35147555950829,0.08420998978689306,4.173798861555282,2.0613610776354574,6.665066366044914e-129,0.9207563255968465,0.20162688396120593,0.5005907940282437,0.4436876794541549,0.08095238095238096,0.03591757405105064,True
Colorectal7,Colorectal,4773,28638,1167,564,40451.00633595914,29684.71435616735,10763.219109287209,0.733843655448912,0.26608037930861533,0.5212078723421366,0.3153452479570383,1.6528166373748294,0.7249266816648332,8.540177352458497e-51,1.1859261810094128,0.7276233126206578,0.3547446079379646,0.33311225901677033,0.1919451585261354,0.06393928536397306,True
Colorectal8,Colorectal,4547,27282,795,632,35628.682372662355,30872.576521663636,4755.585490092912,0.8665090726271694,0.13347632226056835,0.29321088437143183,0.13238546981348195,2.2148267841049485,1.1471938737315241,5.152545217974037e-87,0.7025000049043625,0.30414903747855904,0.4221301020429895,0.35255178922013175,0.3886792452830189,0.13702956335725877,True
Glioblstoma2,Glioblastoma,3500,21000,1162,168,47717.11087555254,28396.558397705376,19317.479030946983,0.595102215466572,0.4048333747893385,0.7444693581021726,0.6298670244826565,1.1819468699960332,0.2411651860107562,0.13585678042050242,2.3127648142685744,1.4745295636041513,0.4767878200833249,0.47637288595699845,0.5912220309810671,0.28164214513980884,True
Glioblstoma3,Glioblastoma,4402,26412,1511,249,58975.66894130355,37135.98051462932,21833.97771616264,0.6296830740756749,0.3702200942882606,0.7350461547566951,0.5126606606536779,1.4337869299704535,0.5198306461368438,4.38131039638691e-18,1.7672881890114702,1.0286915196003226,0.36483917227157914,0.3489510776685114,0.3170086035737922,0.1106204938472647,True
