sample_id,n_spots,n_edges,prog_a,prog_b,k,wedge_mean,wedge_std,wedge_abs_mean,wedge_abs_median,wedge_max,wedge_min,node_intensity_mean,node_intensity_median,node_intensity_max,node_intensity_p95
cytassist_70_post,12472,74832,tumor_score,exhaustion_score,6,-8.289145463616432e-05,2.2814159033304136,0.6589779140831017,0.107,141.3035,-141.3035,0.6566478622258493,0.16542222222222225,81.91149999999999,2.786126111111111
cytassist_70_pre,308,1848,tumor_score,exhaustion_score,6,0.4944883658008655,48.67264093723771,22.93574172077922,5.937716666666668,363.5733666666665,-363.5733666666665,22.38903101663965,9.705180555555554,227.3171055555555,85.38257972222222
cytassist_71_post,8138,48828,tumor_score,exhaustion_score,6,0.006995394036208735,12.383880810325069,1.5249894056688786,0.06249999999999997,773.8430666666666,-773.8430666666666,1.5072260886492745,0.08955555555555555,369.19899166666664,4.44874
cytassist_71_pre,970,5820,tumor_score,exhaustion_score,6,0.3425339232531494,168.88034871414703,61.36643583619702,3.1437,2176.119166666667,-2176.119166666667,59.634294316286,6.233023931623933,1003.7655000000003,290.30375166666664
cytassist_72_post,10076,60456,tumor_score,exhaustion_score,6,0.003982400423448458,4.155775495780286,2.198400319791805,0.840516666666667,77.26013333333333,-66.4512,2.197289948802649,1.3884863636363636,51.15627435897436,7.10201388888889
cytassist_72_pre,1997,11982,tumor_score,exhaustion_score,6,0.0001222416958770821,14.531633204134684,9.163154690368886,5.4308,103.9799333333333,-103.9799333333333,9.130235647988254,7.008594444444444,67.22268333333334,24.247739999999986
cytassist_73_post,3427,20562,tumor_score,exhaustion_score,6,0.0003204146808027618,9.13107312356557,6.183119169665727,4.157033333333336,77.3554,-143.00053333333335,6.155892375147589,5.127385714285714,59.18565555555556,14.221648888888886
cytassist_73_pre,777,4662,tumor_score,exhaustion_score,6,-0.5528874660374664,83.82116301319914,46.00708677963678,17.228383333333326,628.2982666666667,-628.2982666666667,45.53040397005361,28.531838461538467,397.22671666666673,145.6239235897435
cytassist_74_post,9840,59040,tumor_score,exhaustion_score,6,-0.002974877484191507,2.9893807663264993,1.3963509490740742,0.5040166666666664,50.56476666666667,-50.56476666666667,1.39859409878271,0.6792008547008543,31.448944444444447,5.256831111111109
cytassist_74_pre,2083,12498,tumor_score,exhaustion_score,6,-0.026862177948471733,7.659458819553404,3.432864743692324,0.00013333333333333334,137.64343333333332,-94.67966666666666,3.417755584577826,0.0002711111111111111,73.59403846153846,13.654825555555549
cytassist_76_post,7558,45348,tumor_score,exhaustion_score,6,-0.0043376620799153165,4.333495091832369,1.343216648290259,0.19433333333333347,135.95460000000003,-135.95460000000003,1.3368768256647794,0.29418055555555556,69.6621,5.873473888888879
cytassist_76_pre,996,5976,tumor_score,exhaustion_score,6,0.11418366242748783,31.568492710012247,7.028422473226239,0.05536666666666666,598.2691,-598.2691,6.919805665985971,0.07420622895622896,319.1996,31.954421230158744
cytassist_79_post,8781,52686,tumor_score,exhaustion_score,6,0.014611617887104732,5.293721936364776,2.9839209397815996,1.4460333333333337,100.82343333333334,-100.82343333333334,2.974251341693914,2.0865055555555556,56.17690555555556,8.825822222222222
cytassist_79_pre,1064,6384,tumor_score,exhaustion_score,6,-0.6007701023391803,145.21301116332424,73.53649224101922,15.617066666666638,1182.9704,-1182.9704,72.51554885189688,28.33100397435897,681.1870484848486,259.44879621794854
cytassist_83_post,9585,57510,tumor_score,exhaustion_score,6,0.030839433721671607,26.205894451078763,13.272034424737727,1.9649,422.23,-375.4271,13.260942296872296,6.082394871794872,310.6763888888889,46.38756222222219
cytassist_83_pre,800,4800,tumor_score,exhaustion_score,6,0.4366275625000005,76.7839792800306,24.414329243055555,1.171,1102.0625666666665,-1102.0625666666665,23.91254182713953,2.2259902777777776,741.7234166666666,126.83304894444419
cytassist_84_post,3089,18534,tumor_score,exhaustion_score,6,-0.7368639401460377,164.79554354541867,45.430888709039245,3.0073666666666656,2951.5549333333324,-2951.5549333333324,45.16312827198852,4.365949999999999,1873.1056272727271,228.68777111111098
cytassist_84_pre,1155,6930,tumor_score,exhaustion_score,6,-0.05463970658970658,7.483080985748323,2.0259973015873016,0.0511833333333334,96.28183333333334,-96.28183333333334,2.0290080600089486,0.11184444444444441,54.27620333333333,10.190361999999991
cytassist_85_post,9672,58032,tumor_score,exhaustion_score,6,-0.025663610306957053,21.52597918456145,12.384584467764912,7.427449999999996,559.3868666666666,-559.3868666666666,12.389249066073686,8.944905555555552,392.1577846153845,32.94839972222217
cytassist_85_pre,725,4350,tumor_score,exhaustion_score,6,-0.23080180076628354,42.641197014866066,22.592167670498082,7.393333333333333,426.9876,-426.9876,22.425782455082146,12.543022222222236,272.50581818181814,71.81762158730155
cytassist_86_post,10143,60858,tumor_score,exhaustion_score,6,0.005513689243813477,7.018850933217489,4.044755958132045,1.9861333333333335,86.19433333333335,-92.29423333333334,4.042416754312392,2.779555555555556,76.12310000000001,12.260104615384616
cytassist_86_pre,762,4572,tumor_score,exhaustion_score,6,0.5464607976086324,115.98099779201003,55.340685863225424,3.8105500000000014,797.4131666666665,-797.4131666666665,54.502257673063,7.414097222222221,511.0473487179487,233.32985805555546
