metric,R_median,NR_median,fold_R_over_NR,p_R_greater_NR,p_R_less_NR,p_two_sided,spearman_vs_coexact,spearman_vs_coexact_p
tumor_sector_strength,64850.97047428174,23060.90899275012,2.8121602012596107,0.07232767232767233,0.9432567432567432,0.14465534465534466,0.059340659340659345,0.8403017626906825
immune_sector_strength,3300.2275095208456,848.6183769050472,3.8889418369148854,0.005994005994005994,0.9962037962037962,0.011988011988011988,0.556043956043956,0.03894365041866055
tm_dominance,0.838082597272419,0.8540713438726585,0.9812793782218213,0.9820179820179821,0.02477522477522478,0.04955044955044956,-0.7098901098901099,0.004450741418764228
immune_closure,0.48533101483735613,0.24707613644608364,1.9642974097674526,0.11188811188811187,0.9094905094905095,0.22377622377622375,0.6,0.023308410879999995
algebra_entropy,0.6604757447381042,0.563682106087614,1.1717167133832587,0.02477522477522478,0.9820179820179821,0.04955044955044956,0.7054945054945055,0.004819557979048524
immune_sector_entropy,0.7389191931436256,0.6884419598121869,1.0733209715240717,0.19420579420579417,0.8361638361638362,0.38841158841158835,0.45494505494505494,0.10215352669182919
jacobi_inconsistency_proxy,0.0378840491663094,0.03818188608530142,0.9921995231372587,0.6965034965034966,0.34445554445554444,0.6889110889110889,-0.15604395604395604,0.5942347005808511
lie_immune_geometry_score,0.4419128944662046,0.20047421633656723,2.2043378073272644,0.0905094905094905,0.9276723276723277,0.181018981018981,0.7186813186813187,0.003779579961412291
