sample_id,cancer_type,n_interface,n_edges,comm_TI,comm_TE,comm_TM,comm_IE,comm_IM,comm_EM,frac_TI,frac_TE,frac_TM,frac_IE,frac_IM,frac_EM,tumor_sector_strength,immune_sector_strength,tumor_sector_fraction,immune_sector_fraction,tm_dominance,immune_to_TM_ratio,operator_entropy,dominant_channel,TM_is_dominant,immune_sector_gt_TM,exhaustion_sector_strength,immune_sector_fraction_lie,tm_dominance_lie,immune_closure,algebra_entropy_lie,immune_sector_entropy,jacobi_inconsistency_proxy,lie_immune_geometry_score,kts_state
Breast6,Breast,913,5478,195.6049398161917,196.09006677253652,184.3334293126483,231.17614637900132,176.0326766252472,207.45126945731255,0.1642788480419192,0.1646862820137673,0.154812467678752,0.1941533330272714,0.1478410788649086,0.1742279903733804,576.0284359013765,614.6600924615611,0.4837775977344387,0.5162224022655605,0.154812467678752,3.334501477857452,1.7878725784222795,IE,False,True,634.7174826088503,0.5162224022655605,0.15481246767875206,0.610778534377799,1.7878725784222795,1.0924800611508085,4.347928934367946e-06,4.310139748996007,S4_TM_dominated_organized
Breast7,Breast,1490,8940,168.84706711457153,161.71512686716954,136.2877991019268,222.62141604440237,195.84501759308665,168.56434201334486,0.1602145822599293,0.1534472699993915,0.129319941254437,0.2112396607366937,0.1858322339710751,0.1599463117784723,466.8499930836678,587.0307756508339,0.4429817935137579,0.5570182064862412,0.129319941254437,4.307287809467094,1.7798671832180395,IE,False,True,552.9008849249167,0.5570182064862412,0.129319941254437,0.6397507337985531,1.7798671832180395,1.0922291487967524,8.056660462479514e-06,5.403299697134015,S2_mixed_interface
Breast8,Breast,1225,7350,133.14525575260697,132.97765218986245,113.2469282754414,192.5713742681395,180.68004787961803,145.53738879913186,0.1482424693821117,0.1480558614111551,0.1260878895203265,0.2144068588283657,0.2011671862760181,0.1620397345820214,379.3698362179108,518.7888109468894,0.4223862203135934,0.5776137796864054,0.1260878895203265,4.581040906337667,1.774546596199741,IE,False,True,471.0864152571338,0.5776137796864054,0.12608788952032654,0.6609517968224108,1.774546596199741,1.0917873529870108,3.6032469483754576e-05,5.72314133771502,S2_immune_active
Breast9,Breast,1409,8454,171.65448950662469,186.68077458614735,166.94925614943864,256.71333472738803,217.0820341015251,227.1728321783242,0.1399829631625389,0.1522367872064212,0.1361458802548721,0.2093478206236464,0.1770287888783126,0.1852577598742077,525.2845202422106,700.9682010072373,0.4283656306238322,0.5716343693761669,0.1361458802548721,4.19869017193935,1.7795066646813738,IE,False,True,670.5669414918596,0.571634369376167,0.1361458802548722,0.6617255811025389,1.7795066646813738,1.096051542688726,2.2731052456877126e-05,5.327266184191046,S2_immune_active
Colorectal5,Colorectal,598,3588,59.41908184459121,72.51606257348767,97.442603616561,76.79617059655034,73.2729330068467,86.62752256228633,0.1274884120083637,0.1555890359728712,0.2090709316163325,0.1647723514692581,0.1572129622714531,0.1858663066617192,229.3777480346399,236.69662616568337,0.4921483795975674,0.5078516204024304,0.2090709316163325,2.4290876616668404,1.780030434453911,TM,True,True,235.93975573232433,0.5078516204024304,0.20907093161633256,0.6420950255884127,1.780030434453911,1.0960750970763806,4.828020520923937e-05,3.3662468620565273,S1_fragmented_or_diffuse
Colorectal6,Colorectal,420,2520,64.83499137023004,93.59185446419124,64.15426777223225,92.87279297283848,71.42372368937397,83.13500311598884,0.1379430823025172,0.199126252820435,0.1364947731515579,0.1975963758761189,0.1519612849020821,0.1768782309472865,222.5811136066535,247.4315197782013,0.4735641082745101,0.5264358917254877,0.1364947731515579,3.856820884569315,1.7795596932918625,TE,False,True,269.5996505530186,0.5264358917254878,0.13649477315155792,0.6096499191404257,1.7795596932918623,1.0929216929696404,2.3649080147992176e-05,4.881502832354221,S1_fragmented_or_diffuse
Colorectal7,Colorectal,1167,7002,133.91209749377472,134.66439607889927,97.74880470650704,128.1119589013268,110.18904473299482,108.31735251364007,0.1878298469482476,0.1888850475667719,0.1371059327052276,0.1796943672978839,0.1545550536129431,0.1519297518689243,366.325298279181,346.61835614796166,0.5138208272202471,0.4861791727797513,0.1371059327052276,3.546011198691252,1.7846390544889783,TE,False,True,371.09370749386613,0.48617917277975137,0.13710593270522764,0.5634285727609113,1.7846390544889785,1.0956784723316288,1.42104183863096e-05,4.502624690890744,S1_fragmented_or_diffuse
Colorectal8,Colorectal,795,4770,70.03651961526207,76.02459041297888,70.2121995423137,77.65422131875975,79.7450662244209,86.0617526278217,0.1523412806866257,0.1653663478826772,0.1527234142538703,0.1689110708443114,0.1734590122953614,0.1871988740371515,216.27330957055463,243.46104017100237,0.4704310428231733,0.5295689571768244,0.1527234142538703,3.4675033933992627,1.789152701096417,EM,False,True,239.74056435956032,0.5295689571768245,0.1527234142538704,0.6250248927987014,1.789152701096417,1.097649638326619,1.110894403722696e-06,4.492162193157293,S2_mixed_interface
Glioblstoma2,Glioblastoma,1162,6972,290.69546025391014,195.789953811682,161.11401355289323,184.9724077258857,159.859311071922,135.1488537720046,0.2578047324405948,0.1736373062478816,0.1428847740523849,0.1640437110404552,0.1417720348403009,0.1198574413783816,647.5994276184854,479.98057256981224,0.5743268127408614,0.4256731872591378,0.1428847740523849,2.9791360911770295,1.7592406362862236,TI,False,True,515.9112153095723,0.42567318725913783,0.14288477405238495,0.4966347281819889,1.7592406362862238,1.0905012282731965,0.0001851365351064963,3.790332347680637,S2_mixed_interface
Glioblstoma3,Glioblastoma,1511,9066,200.6319816056699,171.7404722960021,142.91442149077832,200.45711760454213,170.70032515858583,136.64306207507408,0.1961044437479404,0.1678649112623044,0.1396893601195222,0.1959335257945899,0.1668482364821094,0.1335595225935326,515.2868753924503,507.8005048382021,0.503658715129767,0.496341284870232,0.1396893601195222,3.553178885246125,1.781022678900105,TI,False,True,508.84065197561836,0.496341284870232,0.13968936011952224,0.5769326355642751,1.7810226789001047,1.0866276831232828,1.350300188434046e-05,4.487893512866882,S2_mixed_interface
Glioblstoma4,Glioblastoma,1672,10032,298.7745304892976,224.1653972213076,194.4161142310721,248.4613989012606,208.87852382869193,166.46898062979218,0.2227723976353623,0.1671423026724927,0.1449606291248371,0.1852578981964217,0.1557440973688341,0.1241226750020511,717.3560419416773,623.8089033597447,0.5348753294326922,0.465124670567307,0.1449606291248371,3.2086275658113257,1.774418645501256,TI,False,True,639.0957767523604,0.46512467056730705,0.14496062912483718,0.5439804135466132,1.774418645501256,1.0855348411533703,2.2879571977807063e-05,4.073586706755107,S2_mixed_interface
Glioblstoma5,Glioblastoma,1450,8700,199.17015393391753,184.6148357824142,172.54179227207726,205.51669565247548,190.14623771486816,150.46918013719693,0.1806599363914254,0.1674573415273374,0.1565063268820806,0.1864166514440262,0.1724746731984476,0.1364850705566818,556.326781988409,546.1321135045405,0.5046236048008435,0.4953763951991556,0.1565063268820806,3.1652164169209156,1.78672865979159,IE,False,True,540.6007115720865,0.49537639519915566,0.15650632688208063,0.5872911807008927,1.78672865979159,1.0902960843903495,8.099617322152625e-06,4.091344340305973,S4_TM_dominated_organized
Lung1,Lung,1736,10416,221.27594899318223,221.84733659475415,221.92429469114376,198.0636990351032,200.21725375221584,206.5690358689941,0.1742470844941349,0.1746970322816962,0.1747576340957891,0.1559682480541701,0.1576640972075141,0.1626659038666946,665.0475802790802,604.8499886563131,0.5237017508716204,0.4762982491283789,0.1747576340957891,2.725478927388692,1.7905589158057005,TM,True,True,626.4800714988514,0.4762982491283789,0.17475763409578912,0.5771616543298805,1.7905589158057003,1.0984524298513019,2.2089826981656239e-07,3.627793571893537,S2_mixed_interface
Lung2,Lung,1270,7620,104.89528915572951,106.52100210136751,73.81362845017726,98.99018479137838,75.23818252822203,74.93236419291885,0.1962895288611367,0.1993317095990054,0.1381267211200103,0.1852393648081687,0.1407924752360171,0.1402202003756596,285.2299197072743,249.16073151251925,0.5337479595801525,0.4662520404198456,0.1381267211200103,3.3755383219061565,1.778325072463259,TE,False,True,280.44355108566475,0.4662520404198456,0.13812672112001032,0.5409751663559442,1.7783250724632593,1.0896617922539993,3.3547529462179e-05,4.267675106975796,S2_mixed_interface
