sample_id,cancer_type,n_spots,n_genes,tumor_markers_used,tcell_markers_used,exhaustion_markers_used,myeloid_markers_used,stroma_markers_used
Glioblstoma5,Glioblastoma,4434,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Lung1,Lung,4948,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Lung2,Lung,4708,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Lung3,Lung,4949,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Lung4,Lung,4829,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Lung5,Lung,4082,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Lung6,Lung,4966,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Lung7,Lung,4701,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Ovarian1,Ovarian,2826,36601,"EPCAM,KRT8,KRT18,KRT19,MUC1,TACSTD2,KRT7,KRT17,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Ovarian2,Ovarian,3821,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Prostate5,Prostate,4932,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Prostate6,Prostate,4942,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Prostate7,Prostate,4729,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Prostate8,Prostate,4948,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
Prostate9,Prostate,4903,17943,"EPCAM,KRT8,KRT18,MUC1,TACSTD2,KRT7,KRT20,ERBB2","CD3D,CD3E,CD3G,CD2,TRAC,TRBC1,TRBC2,CD8A,CD8B,GZMB,NKG7,PRF1","PDCD1,CTLA4,LAG3,HAVCR2,TIGIT,TOX,ENTPD1,LAYN,CXCL13","LYZ,CD68,CD163,C1QA,C1QB,C1QC,LST1,FCGR3A,MS4A7,TYROBP,AIF1","COL1A1,COL1A2,DCN,LUM,TAGLN,FAP,POSTN,ACTA2"
